Location ID,City Name,State Province Name,Country Name,Developing Flag,Wealt Rank Number
200,Midland,Texas,USA,,115
201,Oklahoma City,Oklahoma,USA,,34
202,Oro Valley,Arizona,USA,,243
203,Mesa,Arizona,USA,,164
204,Norwalk,Connecticut,USA,,325
205,Kentwood,Michigan,USA,,14
206,Brookfield,Wisconsin,USA,,307
207,Rockwall,Texas,USA,,269
208,Mishawaka,Indiana,USA,,253
209,Tustin,California,USA,,235
210,St. Cloud,Minnesota,USA,,24
211,Passaic,New Jersey,USA,,129
212,Escondido,California,USA,,222
213,San Bruno,California,USA,,296
214,Berkeley,California,USA,,249
215,San Clemente,California,USA,,107
216,Lawton,Oklahoma,USA,,253
217,Eau Claire,Wisconsin,USA,,115
218,Maricopa,Arizona,USA,,87
219,DeSoto,Texas,USA,,58
220,Fort Wayne,Indiana,USA,,138
221,Shoreline,Washington,USA,,144
222,Medford,Massachusetts,USA,,63
223,La Habra,California,USA,,259
224,Albany,New York,USA,,313
225,Daly City,California,USA,,63
226,Taylor,Michigan,USA,,215
227,Lynchburg,Virginia,USA,,58
228,Bowie,Maryland,USA,,19
229,Danbury,Connecticut,USA,,167
230,Charlottesville,Virginia,USA,,326
231,Coral Gables,Florida,USA,,52
232,Coeur d'Alene,Idaho,USA,,42
233,El Monte,California,USA,,56
234,Crystal Lake,Illinois,USA,,238
235,Danville,California,USA,,241
236,Goodyear,Arizona,USA,,185
237,Paterson,New Jersey,USA,,4
238,Salem,Oregon,USA,,38
239,Kissimmee,Florida,USA,,46
240,Saginaw,Michigan,USA,,248
241,Brownsville,Texas,USA,,204
242,Flower Mound,Texas,USA,,48
243,Grapevine,Texas,USA,,87
244,Edina,Minnesota,USA,,327
245,Detroit,Michigan,USA,,112
246,Fairfield,Ohio,USA,,307
247,Mansfield,Texas,USA,,235
248,Rochester,New York,USA,,208
249,Birmingham,Alabama,USA,,81
250,Austin,Texas,USA,,160
251,Santa Barbara,California,USA,,321
252,Addison,Illinois,USA,,125
253,Rio Rancho,New Mexico,USA,,332
254,Normal,Illinois,USA,,196
255,Romeoville,Illinois,USA,,221
256,Coon Rapids,Minnesota,USA,,94
257,San Mateo,California,USA,,55
258,Orlando,Florida,USA,,106
259,Casper,Wyoming,USA,,330
260,Bedford,Texas,USA,,323
261,Wilmington,North Carolina,USA,,124
262,Pinellas Park,Florida,USA,,157
263,North Miami Beach,Florida,USA,,68
264,Kansas City,Kansas,USA,,101
265,Fitchburg,Massachusetts,USA,,263
266,Wheeling,Illinois,USA,,27
267,Newton,Massachusetts,USA,,163
268,North Miami,Florida,USA,,302
269,Norwich,Connecticut,USA,,30
270,Newark,New Jersey,USA,,78
271,Alexandria,Louisiana,USA,,22
272,Blaine,Minnesota,USA,,211
273,Harlingen,Texas,USA,,2
274,Lompoc,California,USA,,60
275,Denton,Texas,USA,,94
276,Galveston,Texas,USA,,271
277,Greenwood,Indiana,USA,,330
278,Salinas,California,USA,,169
279,Miami Gardens,Florida,USA,,289
280,Huntington,West Virginia,USA,,228
281,Laredo,Texas,USA,,296
282,Melbourne,Florida,USA,,67
283,Haltom City,Texas,USA,,71
284,Palm Bay,Florida,USA,,220
285,Wilson,North Carolina,USA,,92
286,Bountiful,Utah,USA,,214
287,Ceres,California,USA,,49
288,Parma,Ohio,USA,,209
289,Rapid City,South Dakota,USA,,41
290,Bell Gardens,California,USA,,250
291,Commerce City,Colorado,USA,,121
292,Springfield,Massachusetts,USA,,87
293,Fort Collins,Colorado,USA,,43
294,San Leandro,California,USA,,283
295,Vista,California,USA,,53
296,Yonkers,New York,USA,,282
297,Cincinnati,Ohio,USA,,297
298,Hagerstown,Maryland,USA,,140
299,Sanford,Florida,USA,,124
300,Union City,New Jersey,USA,,180
301,Toledo,Ohio,USA,,227
302,Sierra Vista,Arizona,USA,,185
303,Newport News,Virginia,USA,,232
304,Hammond,Indiana,USA,,214
305,Buffalo Grove,Illinois,USA,,300
306,Sugar Land,Texas,USA,,70
307,Huntsville,Alabama,USA,,17
308,Lodi,California,USA,,326
309,Edmonds,Washington,USA,,104
310,Duncanville,Texas,USA,,17
311,Rocky Mount,North Carolina,USA,,127
312,Pontiac,Michigan,USA,,23
313,National City,California,USA,,335
314,Hayward,California,USA,,250
315,Niagara Falls,New York,USA,,4
316,Sparks,Nevada,USA,,156
317,Hanford,California,USA,,235
318,Cypress,California,USA,,84
319,Youngstown,Ohio,USA,,294
320,Madison,Alabama,USA,,122
321,Redlands,California,USA,,149
322,Cape Girardeau,Missouri,USA,,310
323,Nampa,Idaho,USA,,23
324,Washington,District of Columbia,USA,,243
325,Wheaton,Illinois,USA,,233
326,Lancaster,Texas,USA,,272
327,Rialto,California,USA,,291
328,Fargo,North Dakota,USA,,137
329,Peoria,Illinois,USA,,212
330,Omaha,Nebraska,USA,,75
331,Rancho Santa Margarita,California,USA,,191
332,Manhattan,Kansas,USA,,85
333,Palm Springs,California,USA,,281
334,San Diego,California,USA,,291
335,Santa Rosa,California,USA,,207
